row_key,excel_row,item_id,setor,cotacao,data_cotacao,pedido,data_pedido,fornecedor,produto,quantidade,valor,origem,status_compra,disciplina,observacao,source,metadata
xlsx-25-05-26-r0059,59,03,SETOR 3,41253,2026-01-09,41857,2026-01-13,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1.0,42000.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 59, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0060,60,03,SETOR 3,41269,2026-01-11,42101,2026-01-28,RAFIL SUPRIMENTOS OFFSHORE LTDA,FITA ANTICORROSIVA 100MM X 30M PRETA,8.0,1992.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 60, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0061,61,03,SETOR 3,41273,2026-01-12,42141,2026-01-29,RAFIL SUPRIMENTOS OFFSHORE LTDA,"PARAFUSO SEXTAVADO AUTOBROCANTE 12X4 ROSCA DUPLA 10,2CM",1800.0,3960.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 61, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0062,62,03,SETOR 3,41574,2026-01-30,42324,2026-02-09,LAGOS TELHAS LTDA,TELHAS SANDUICHE H=100MM,150.0,35125.65,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 62, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0063,63,03,SETOR 3,,,,,PROJECARD,PROJETO E CÁLCULO DE PÓRTICO SOBRE TRILHO,1.0,6260.0,BRASIL,Cancelado,PROJETO,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 63, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0064,64,03,SETOR 3,,,,,BARBARA COSNTRUÇÃO,FABRICAÇÃO DA ESTRUTURA - TESOURAS + MONTAGEM (FORN BARBARA CONSTRU),1.0,145000.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 64, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0065,65,03,SETOR 3,,,,,VOCAN,FABRICAÇÃO DA ESTRUTURA - TESOURAS + MONTAGEM (FORN VOLCAN),1.0,189750.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 65, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0066,66,03,SETOR 3,,,,,DIAMETTRO,FABRICAÇÃO DE 7 TESOURAS - (FORN DIAMETRO),1.0,72500.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 66, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0067,67,03,SETOR 3 - PETROHAB,25094,2025-04-25,37217,2025-05-05,SERFER COM E IND FERRO E AÇO LTDA,"CHAPA DE XADREZ 1/4"" A36",3160.0,8315.86,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 67, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0068,68,03,SETOR 3 - PETROHAB,25513,2025-06-11,37969,2025-06-24,CEDISA CENTRAL DE ACO S/A - FABRICACAO,"CHAPA DE XADREZ 1/4"" A36",890.0,5750.02,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 68, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0069,69,04,SETOR 4,24509,2025-02-18,36110,2025-02-24,JCM NITEROI REFRIGERAÇÃO LTDA,BEBEDOURO INDUSTRIAL 200 LITROS ACO INOX,1.0,3628.65,BRASIL,Comprado,OPERACIONAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 69, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0070,70,04,SETOR 4,,2025-12-01,,,ONEN,EMPILHADEIRA – FORKLIFT-CPDD-V3530L,1.0,98968.97,CHINA,Orçamento não Aprovado,OPERACIONAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 70, ""original_status"": ""Orçamento não Apravado""}"
xlsx-25-05-26-r0071,71,04,SETOR 4,,2025-12-01,,,FEIDA,MÁQUINA DE SOLDA TIG – TIG-250,1.0,914.38,CHINA,Orçamento não Aprovado,OPERACIONAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 71, ""original_status"": ""Orçamento não Apravado""}"
