,,,,,,,,,,,
,,,,,,,Comprado,#NAME?,Setor, ,5.5
,,,,,,,Tota Orçado,#NAME?,23281362.249999996,custo de importação,1.5
,,,,,,,,,,,
SETOR,COTACAO,"DT
COTACAO",PEDIDO,"DT
PEDIDO",FORNECEDOR ,PRODUTO,"QT
PEDIDA",VALOR,ORIGEM,"STATUS DA 
COMRPA ",DISCIPLINA
SETOR 2,41641,46057,42278,46059,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO - ESTRUTURA DE PAREDE DA AREA 2 ,1,11000,BRASIL,Comprado,ESTRUTURAL
SETOR 3,25427,45812,37762,45819,CONSTRUTORA SORDI LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1,37600,BRASIL,Comprado,ESTRUTURAL
SETOR 3,27860,45929,40626,45974,LAGOS TELHAS LTDA,TELHAS SANDUICHE H=100MM,400,67029.9,BRASIL,Comprado,ESTRUTURAL
SETOR 3,29786,45992,41010,45993,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1,18900,BRASIL,Comprado,ESTRUTURAL
SETOR 3,41253,46031,41857,46035,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1,42000,BRASIL,Comprado,ESTRUTURAL
SETOR 3,41269,46033,42101,46050,RAFIL SUPRIMENTOS OFFSHORE LTDA,FITA ANTICORROSIVA  100MM X 30M PRETA,8,1992,BRASIL,Comprado,ESTRUTURAL
SETOR 3,41273,46034,42141,46051,RAFIL SUPRIMENTOS OFFSHORE LTDA,"PARAFUSO SEXTAVADO AUTOBROCANTE 12X4 ROSCA DUPLA 10,2CM",1800,3960,BRASIL,Comprado,ESTRUTURAL
SETOR 3,41574,46052,42324,46062,LAGOS TELHAS LTDA,TELHAS SANDUICHE H=100MM,150,35125.65,BRASIL,Comprado,ESTRUTURAL
SETOR 3,,,,,PROJECARD,PROJETO E CÁLCULO DE PÓRTICO SOBRE TRILHO,1,6260,BRASIL,Cancelado,PROJETO
SETOR 3,,,,,BARBARA COSNTRUÇÃO,FABRICAÇÃO DA ESTRUTURA - TESOURAS + MONTAGEM (FORN BARBARA CONSTRU),1,145000,BRASIL,Cancelado,ESTRUTURAL
SETOR 3,,,,,VOCAN,FABRICAÇÃO DA ESTRUTURA - TESOURAS + MONTAGEM (FORN VOLCAN),1,189750,BRASIL,Cancelado,ESTRUTURAL
SETOR 3,,,,,DIAMETTRO,FABRICAÇÃO DE 7 TESOURAS - (FORN DIAMETRO),1,72500,BRASIL,Cancelado,ESTRUTURAL
SETOR 3 - PETROHAB,25094,45772,37217,45782,SERFER COM E IND FERRO E AÇO LTDA,"CHAPA DE XADREZ 1/4"" A36",3160,8315.86,BRASIL,Comprado,ESTRUTURAL
SETOR 3 - PETROHAB,25513,45819,37969,45832,CEDISA CENTRAL DE ACO S/A - FABRICACAO,"CHAPA DE XADREZ 1/4"" A36",890,5750.02,BRASIL,Comprado,ESTRUTURAL
SETOR 4,24509,45706,36110,45712,JCM NITEROI REFRIGERAÇÃO LTDA,BEBEDOURO INDUSTRIAL 200 LITROS ACO INOX,1,3628.65,BRASIL,Comprado,OPERACIONAL
SETOR 4,,45992,,,ONEN,EMPILHADEIRA – FORKLIFT-CPDD-V3530L,1,98968.97,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,FEIDA,MÁQUINA DE SOLDA TIG – TIG-250,1,914.38,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,FEIDA,MÁQUINA DE SOLDA MIG – MIG-300,1,2916.38,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,KAITAI,MÁQUINA DE SOLDA TIG AC/DC – TIG-250AC/DC,1,2184.39,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,KAITAI,MÁQUINA DE SOLDA MIG – MIG 350H,1,3413.12,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,ANHUI HUAXIA,GUILHOTINA HIDRÁULICA – QC11K-16X2500,1,152907.76,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,CNC RADIAL DRILLING,FURADEIRA RADIAL – Z3040*10,1,27304.97,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,JIANGSU BOHUI MACHINERY,SUPORTE DE TUBO COM RODAS – PIPE JACK STAND WITH WHEELS-BRACKET/11 07,1,698.29,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,JIANGSU BOHUI MACHINERY,SUPORTE DE TUBO – PIPE SUPPORT STAND-BRACKET/11 07R,1,262.09,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-WPP252-1,1,7611.26,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-M42,1,266.23,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-WPE-352,1,8880.99,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-M42,1,266.23,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-WPP120,1,5290.38,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,HANGZHOU DOWELD PIPING TECHNOLOGY CO.,CHANFRO MÁQUINA – BEVELING-M42,1,266.23,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,FOSHAN JUNDELONG MACHINERY EQUIPMENT ,MÁQUINA DE CORTE DE TUBO – PIPE CUTTING-JD-300,1,4778.33,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,45992,,,WINCOO ENGINEERING CO.,MÁQUINA DE CHANFRO DE TUBO – PIPE BEVELING-WG2-11,1,3850,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,MUTIAN -,PORTICO ELÉTRICO,1,13523.13,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,NANJIE - ,CARRINHO ELÉTRICO,1,3839.89,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,HUAYUAN - ,PONTE ROLANTE,1,73323.25,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,PEISA -,PORTICO ELÉTRICO,1,6707.66,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG DLH0810 -,MANIPULADOR DE SOLDAGEM,1,64410.02,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG DLH1520 - ,MANIPULADOR DE SOLDAGEM,1,172045.53,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG HB12 - ,POSICIONADOR DE SOLDAGEM,1,779413.25,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG - ,KIT DE PEÇAS DE REPOSIÇÃO,1,48683.25,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,ACME 6036TKA - ,MÁQUINA DE CORTE LASER DE TUBO,1,1429312.5,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,ACME 6055TKA,MÁQUINA DE CORTE LASER DE TUBO,1,1944250,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,HONHNIU HN6036SN,MÁQUINA DE CORTE LASER DE TUBO FIBRA,1,1266650,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,SENFENG SF6035GST,MÁQUINA DE CORTE LASER DE TUBO,1,2204125,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,POSICIONADOR DE SOLDA – WELDING POSITIONER,1,16177.6,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,VIRADOR DE SOLDA LEVE – LIGHT WELDING ROTATOR,1,72758.46,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,VIRADOR DE SOLDA COM FUSO AJUSTÁVEL – LEAD SCREW ADJUSTABLE WELDING ROTATOR,1,239265.57,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,MANIPULADOR DE SOLDA TIPO PEQUENO – SMALL TYPE WELDING MANIPULATOR,1,75314.28,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,MÁQUINA DE CORTE CNC PLASMA COM CHANFRO – CNC PLASMA BEVEL CUTTING MACHINE,1,362840.75,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,WUXI DATANG,PEÇAS DE REPOSIÇÃO PARA 1 ANO – ONE YEAR SPARE,1,57241.61,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,QIANSHAN,MÁQUINA CNC CORTE DE PERFIL DE TUBO FLAME/PLASMA – CNC FLAME/PLASMA PIPE PROFILE CUTTING MACHINE,1,842867.22,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,QIANSHAN,MÁQUINA CNC CORTE DE PERFIL DE TUBO PLASMA – CNC PLASMA PIPE PROFILE CUTTING MACHINE,1,570974.54,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,LIAOLING HUAYUAN,PONTE ROLANTE DE VIGA SIMPLES – 3 TONELADAS,1,497253.58,CHINA,Orçamento não Apravado,OPERACIONAL
