row_key;item_id;setor;cotacao;data_cotacao;pedido;data_pedido;fornecedor;produto;quantidade;valor;origem;status_compra;disciplina;source_row
xlsx-25-05-26-row-0175;06;SETOR 6;;2025-09-02;;;ANCO BLAST Equipamentos;Câmara de trabalho em chapa de aço carbono;1.0;396880.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;175
xlsx-25-05-26-row-0176;06;SETOR 6;;2025-09-03;;;ANCO BLAST Equipamentos;Revestimento interno da câmara de trabalho;1.0;48667.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;176
xlsx-25-05-26-row-0177;06;SETOR 6;;2025-09-04;;;ANCO BLAST Equipamentos;Portas e batentes de fixação;1.0;66960.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;177
xlsx-25-05-26-row-0178;06;SETOR 6;;2025-09-05;;;ANCO BLAST Equipamentos;Luminárias para câmara de trabalho (21 unidades);21.0;47481.0;BRASIL;Orçamento não Aprovado;ELÉTRICA;178
xlsx-25-05-26-row-0179;06;SETOR 6;;2025-09-06;;;ANCO BLAST Equipamentos;Sistema transportador vertical – elevador de canecas 6030;1.0;56325.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;179
xlsx-25-05-26-row-0180;06;SETOR 6;;2025-09-07;;;ANCO BLAST Equipamentos;Separador de abrasivos;1.0;30427.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;180
xlsx-25-05-26-row-0181;06;SETOR 6;;2025-09-08;;;ANCO BLAST Equipamentos;Cavalete;1.0;7061.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;181
xlsx-25-05-26-row-0182;06;SETOR 6;;2025-09-09;;;ANCO BLAST Equipamentos;Silos de armazenagem 150 litros cada (02 unidades);2.0;8130.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;182
xlsx-25-05-26-row-0183;06;SETOR 6;;2025-09-10;;;ANCO BLAST Equipamentos;Máquinas de jato com acessórios e E.P.I (02 unidades);2.0;78538.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;183
xlsx-25-05-26-row-0184;06;SETOR 6;;2025-09-11;;;ANCO BLAST Equipamentos;Quadro elétrico e de comando;1.0;48246.0;BRASIL;Orçamento não Aprovado;ELÉTRICA;184
xlsx-25-05-26-row-0185;06;SETOR 6;;2025-09-12;;;ANCO BLAST Equipamentos;Vagoneta de movimentação peças;1.0;59530.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;185
xlsx-25-05-26-row-0186;06;SETOR 6;41869;2026-02-12;42517;2026-02-24;FORT CONSTRUCOES COMERCIO E SERVICOS LTDA;AMPLIAÇÃO DA CABINE DE JATO;1.0;25000.0;BRASIL;Comprado;OPERACIONAL;186
xlsx-25-05-26-row-0187;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Sistema transportador vertical – elevador de canecas 6630;1.0;62108.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;187
xlsx-25-05-26-row-0188;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Separador de abrasivos;1.0;31948.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;188
